"","State_Name","County","City","Zip_Code","AllSbjtNumReady","AllSbjtNumAssessed","Lat","Lon","Mean_Income","Median_Income","FinalMathAveScore","FinalAllSbjtAveScore","FinalEWBRWAveScore","MathPctReady","TotalPerReady","EBRWPctReady","Median","Income_Level","difference_from_avg_median"
"274","Michigan","Alcona County","Allendale",49401,89,178,42.9593879,-85.9607609,65535,58241,526.379775280899,1049.52696629213,523.240449438202,0.533707865168539,0.5,0.657303370786517,58241,"Medium",13267.6754563895
"275","Michigan","Alcona County","Onaway",49765,10,45,45.4750494,-84.0907752,57477,49465,474.9,952.9,478,0.222222222222222,0.222222222222222,0.466666666666667,49465,"Medium",22043.6754563895
"278","Michigan","Alcona County","Saginaw",48601,0,123,43.4142933,-83.9496824,40292,27339,372.739024390244,771.117073170732,398.378048780488,0,0,0.0569105691056911,27339,"Low",44169.6754563895
"279","Michigan","Alcona County","Saginaw",48602,35,203,43.4267946,-83.9698445,37657,33477,438.961083743842,902.310344827586,463.356157635468,0.172413793103448,0.172413793103448,0.157635467980296,33477,"Low",38031.6754563895
"280","Michigan","Alcona County","Saginaw",48603,123,339,43.4689269,-83.9839158,47912,36971,496.890855457227,1012.13067846608,515.23982300885,0.374631268436578,0.36283185840708,0.63716814159292,36971,"Medium",34537.6754563895
"281","Michigan","Alcona County","Saginaw",48601,0,123,43.4559498,-83.8513736,49686,39770,372.739024390244,771.117073170732,398.378048780488,0,0,0.0569105691056911,39770,"Medium",31738.6754563895
"282","Michigan","Alcona County","Saginaw",48609,55,138,43.4176071,-84.0577717,64778,53733,503.3,1017.7,514.3,0.405797101449275,0.398550724637681,0.652173913043478,53733,"Medium",17775.6754563895
"284","Michigan","Alcona County","Port Huron",48060,59,356,43.0017519,-82.4495181,62871,53757,443.621348314607,910.120505617978,466.504213483146,0.193820224719101,0.165730337078652,0.348314606741573,53757,"Medium",17751.6754563895
"285","Michigan","Alcona County","Kimball",48074,0,62,42.9454241,-82.5922024,56246,46746,441.122580645161,915.809677419355,474.687096774194,0.0806451612903226,0,0.483870967741936,46746,"Medium",24762.6754563895
"287","Michigan","Alcona County","Ira",48023,159,483,42.6879982,-82.6771846,73147,53475,503.5,1008.1,504.6,0.351966873706004,0.329192546583851,0.612836438923395,53475,"Medium",18033.6754563895
"288","Michigan","Alcona County","Albion",49224,0,47,42.2577401,-84.7280489,47441,34907,375.302127659574,790.634042553192,415.331914893617,0,0,0,34907,"Low",36601.6754563895
"290","Michigan","Alcona County","Sturgis",49091,51,214,41.8128996,-85.4034695,44743,35992,474.1,950.2,476.1,0.261682242990654,0.238317757009346,0.453271028037383,35992,"Medium",35516.6754563895
"293","Michigan","Alcona County","Owosso",48867,115,420,43.0062691,-84.1845814,53440,41699,470.548333333333,964.404285714286,493.86380952381,0.285714285714286,0.273809523809524,0.557142857142857,41699,"Medium",29809.6754563895
"294","Michigan","Alcona County","Corunna",48817,46,147,42.975798,-84.1411962,46656,40730,481,988.6,507.6,0.319727891156463,0.312925170068027,0.63265306122449,40730,"Medium",30778.6754563895
"295","Michigan","Alcona County","Vassar",48768,16,93,43.4420801,-83.5167159,57107,43282,445.277419354839,918.402150537634,473.124731182796,0.172043010752688,0.172043010752688,0.473118279569893,43282,"Medium",28226.6754563895
"296","Michigan","Alcona County","South Haven",49090,34,140,42.410325,-86.2735944,54703,37778,470.95,968.942857142857,497.992857142857,0.25,0.242857142857143,0.535714285714286,37778,"Medium",33730.6754563895
"297","Michigan","Alcona County","Paw Paw",49079,47,169,42.1992357,-85.9413398,54033,44081,482.188165680473,1000.71893491124,518.530769230769,0.284023668639053,0.27810650887574,0.674556213017751,44081,"Medium",27427.6754563895
"298","Michigan","Alcona County","South Haven",49090,34,140,42.4595595,-86.1982287,68497,60653,470.95,968.942857142857,497.992857142857,0.25,0.242857142857143,0.535714285714286,60653,"Medium",10855.6754563895
"299","Michigan","Alcona County","Ann Arbor",48104,95,179,42.2850587,-83.7507189,77541,58461,549.489944134078,1117.25754189944,567.767597765363,0.541899441340782,0.53072625698324,0.692737430167598,58461,"Medium",13047.6754563895
"300","Michigan","Alcona County","Niles",49120,78,283,41.8349138,-86.1924931,58798,46722,479.800706713781,965.242756183746,485.509187279152,0.296819787985866,0.275618374558304,0.491166077738516,46722,"Medium",24786.6754563895
"301","Michigan","Alcona County","Ann Arbor",48103,498,833,42.284329,-83.7893781,82657,72794,568.410204081633,1141.1600240096,572.749819927971,0.615846338535414,0.597839135654262,0.773109243697479,72794,"Medium",-1285.32454361055
"302","Michigan","Alcona County","Ann Arbor",48104,95,179,42.2480507,-83.7309221,82441,68695,549.489944134078,1117.25754189944,567.767597765363,0.541899441340782,0.53072625698324,0.692737430167598,68695,"Medium",2813.67545638945
"303","Michigan","Alcona County","Ypsilanti",48198,92,131,42.2700183,-83.5938966,92692,87141,583.529770992366,1196.61450381679,613.084732824428,0.709923664122137,0.702290076335878,0,87141,"High",-15632.3245436105
"304","Michigan","Alcona County","Ypsilanti",48197,86,487,42.2494216,-83.6176232,38148,28964,445.098770491803,907.836755646817,463.056262833676,0.19672131147541,0.176591375770021,0.388090349075975,28964,"Low",42544.6754563895
"305","Michigan","Alcona County","Ypsilanti",48198,92,131,42.2184744,-83.5632805,45277,36293,583.529770992366,1196.61450381679,613.084732824428,0.709923664122137,0.702290076335878,0,36293,"Medium",35215.6754563895
"306","Michigan","Alcona County","Ann Arbor",48103,498,833,42.2396506,-83.7714885,124881,114222,568.410204081633,1141.1600240096,572.749819927971,0.615846338535414,0.597839135654262,0.773109243697479,114222,"High",-42713.3245436105
"307","Michigan","Alcona County","Milan",48160,75,159,42.0937129,-83.6691637,69749,300000,522.5,1050.4,527.9,0.509433962264151,0.471698113207547,0.691823899371069,3e+05,"High",-228491.324543611
"308","Michigan","Alcona County","Chelsea",48118,167,232,42.3872604,-84.0768063,90445,82587,591.7,1140.5,548.8,0.801724137931034,0.719827586206897,0.775862068965517,82587,"High",-11078.3245436105
"309","Michigan","Alcona County","Northville",48168,414,581,42.3899612,-83.6066461,96915,85099,605.9,1206,600.1,0.731497418244406,0.712564543889845,0.870912220309811,85099,"High",-13590.3245436105
"310","Michigan","Alcona County","Detroit",48224,0,321,42.4296143,-82.9473354,36981,25938,370.749221183801,765.714330218069,394.965109034268,0,0,0.0373831775700935,25938,"Low",45570.6754563895
"311","Michigan","Alcona County","Boyne City",49712,41,101,45.271394,-85.0298343,72455,58886,521.772277227723,1040.92178217822,519.149504950495,0.415841584158416,0.405940594059406,0.683168316831683,58886,"Medium",12622.6754563895
"312","Michigan","Alcona County","Detroit",48224,0,321,42.4042423,-82.9212936,24775,18907,370.749221183801,765.714330218069,394.965109034268,0,0,0.0373831775700935,18907,"Low",52601.6754563895
"314","Michigan","Alcona County","Detroit",48234,0,60,42.4403465,-83.0179417,32706,19016,380.2,777.7,397.5,0,0,0,19016,"Low",52492.6754563895
"315","Michigan","Alcona County","Detroit",48234,0,60,42.4441868,-83.046581,39631,33252,380.2,777.7,397.5,0,0,0,33252,"Low",38256.6754563895
"318","Michigan","Alcona County","Detroit",48214,0,71,42.3657136,-82.9802179,26714,15241,380.830985915493,777.07323943662,396.178873239437,0,0,0.0845070422535211,15241,"Low",56267.6754563895
"319","Michigan","Alcona County","Detroit",48214,0,71,42.3639483,-82.9917654,34700,22829,380.830985915493,777.07323943662,396.178873239437,0,0,0.0845070422535211,22829,"Low",48679.6754563895
"320","Michigan","Alcona County","Detroit",48207,15,370,42.3483954,-83.0210206,32448,20157,415.265945945946,863.566486486486,448.333243243243,0.0432432432432432,0.0405405405405405,0.337837837837838,20157,"Low",51351.6754563895
"321","Michigan","Alcona County","Detroit",48207,15,370,42.3732892,-83.0345719,26819,18115,415.265945945946,863.566486486486,448.333243243243,0.0432432432432432,0.0405405405405405,0.337837837837838,18115,"Low",53393.6754563895
"322","Michigan","Alcona County","Charlevoix",49720,36,97,45.314141,-85.2515752,49442,31777,489.5,1006.3,513.5,0.383838383838384,0.371134020618557,0.628865979381443,31777,"Low",39731.6754563895
"323","Michigan","Alcona County","Detroit",48208,0,148,42.3341233,-83.0929438,39579,36057,390.190540540541,796.040540540541,405.793243243243,0,0,0.114864864864865,36057,"Medium",35451.6754563895
"324","Michigan","Alcona County","Detroit",48201,161,857,42.3411362,-83.0606837,19088,10457,459.670711785298,944.230805134189,484.571528588098,0.198366394399067,0.187864644107351,0.52392065344224,10457,"Low",61051.6754563895
"325","Michigan","Alcona County","River Rouge",48218,0,192,42.2873034,-83.1516022,25136,16029,412.7,832.6,419.9,0.0677083333333333,0,0.15625,16029,"Low",55479.6754563895
"326","Michigan","Alcona County","Detroit",48210,39,333,42.3259356,-83.1429717,29389,21769,438.858858858859,887.266366366366,448.407507507508,0.159159159159159,0.117117117117117,0.312312312312312,21769,"Low",49739.6754563895
"329","Michigan","Alcona County","Detroit",48206,0,57,42.3718956,-83.1019312,32708,14581,377.4,760.4,383,0,0,0,14581,"Low",56927.6754563895
"330","Michigan","Alcona County","Detroit",48227,7,108,42.3749313,-83.1627851,39549,22134,431.9,890.7,458.8,0.0740740740740741,0.0648148148148148,0.37037037037037,22134,"Low",49374.6754563895
"331","Michigan","Alcona County","Dearborn",48126,157,727,42.3546687,-83.1894514,34507,23798,468.227647867951,939.870976616231,471.643328748281,0.275103163686382,0.21595598349381,0.423658872077029,23798,"Low",47710.6754563895
"332","Michigan","Alcona County","Detroit",48235,90,458,42.4064903,-83.165885,34504,26539,460.555021834061,934.710480349345,474.139082969432,0.213973799126638,0.196506550218341,0.48471615720524,26539,"Low",44969.6754563895
"333","Michigan","Alcona County","Cheboygan",49721,49,126,45.6754625,-84.331547,0,0,505.2,1027,521.7,0.420634920634921,0.388888888888889,0.634920634920635,0,"Low",71508.6754563895
"334","Michigan","Alcona County","Ferndale",48220,42,324,42.4413341,-83.1269354,57619,47892,430.286111111111,883.60462962963,453.318518518519,0.141975308641975,0.12962962962963,0.305555555555556,47892,"Medium",23616.6754563895
"335","Michigan","Alcona County","Detroit",48221,0,223,42.4421933,-83.1662919,36561,29576,402.1,814.2,412.2,0,0,0.10762331838565,29576,"Low",41932.6754563895
"336","Michigan","Alcona County","Detroit",48235,90,458,42.4193657,-83.2091493,35480,21720,460.555021834061,934.710480349345,474.139082969432,0.213973799126638,0.196506550218341,0.48471615720524,21720,"Low",49788.6754563895
"337","Michigan","Alcona County","Detroit",48219,0,208,42.4247924,-83.2690447,46199,38025,396.445192307692,820.557211538462,424.156730769231,0.0288461538461538,0,0.168269230769231,38025,"Medium",33483.6754563895
"338","Michigan","Alcona County","Detroit",48227,7,108,42.3824612,-83.22681,39047,22715,431.9,890.7,458.8,0.0740740740740741,0.0648148148148148,0.37037037037037,22715,"Low",48793.6754563895
"339","Michigan","Alcona County","Detroit",48223,7,72,42.3894096,-83.2540316,25273,18237,493.8,904.7,411,0.513888888888889,0.0972222222222222,0.125,18237,"Low",53271.6754563895
"340","Michigan","Alcona County","Detroit",48228,0,211,42.3471339,-83.206403,30202,22948,375.38672985782,779.056872037915,403.670142180095,0,0,0.028436018957346,22948,"Low",48560.6754563895
"341","Michigan","Alcona County","Detroit",48228,0,211,42.3682497,-83.2411333,35973,29231,375.38672985782,779.056872037915,403.670142180095,0,0,0.028436018957346,29231,"Low",42277.6754563895
"342","Michigan","Alcona County","Grosse Pointe Farms",48236,400,697,42.3947515,-82.8905015,144662,138985,554.05824964132,1119.89569583931,565.837446197991,0.582496413199426,0.573888091822095,0.81922525107604,138985,"High",-67476.3245436105
"343","Michigan","Alcona County","Grosse Pointe Woods",48236,400,697,42.4455794,-82.8873893,117882,109040,554.05824964132,1119.89569583931,565.837446197991,0.582496413199426,0.573888091822095,0.81922525107604,109040,"High",-37531.3245436105
"346","Michigan","Alcona County","Redford",48239,31,272,42.4063569,-83.3057437,59691,50714,434.498529411765,892.964705882353,458.466176470588,0.117647058823529,0.113970588235294,0.371323529411765,50714,"Medium",20794.6754563895
"347","Michigan","Alcona County","Livonia",48152,271,563,42.4340683,-83.3459836,57563,42775,531.933392539965,1060.31740674956,528.325222024867,0.516873889875666,0.481349911190053,0.674955595026643,42775,"Medium",28733.6754563895
"351","Michigan","Alcona County","Plymouth",48170,6,58,42.359806,-83.4930025,113418,101209,432.772413793104,890.368965517241,457.596551724138,0.103448275862069,0.103448275862069,0.310344827586207,101209,"High",-29700.3245436105
"352","Michigan","Alcona County","Canton",48187,920,1490,42.329366,-83.4834182,94360,87971,572.475100671141,1129.91899328859,557.414026845638,0.642953020134228,0.61744966442953,0.781208053691275,87971,"High",-16462.3245436105
"353","Michigan","Alcona County","Canton",48187,920,1490,42.2992093,-83.5250265,166016,174312,572.475100671141,1129.91899328859,557.414026845638,0.642953020134228,0.61744966442953,0.781208053691275,174312,"High",-102803.324543611
"354","Michigan","Alcona County","Westland",48185,88,394,42.3428802,-83.4241663,74300,58841,464.009137055838,944.095685279188,480.081218274112,0.258883248730964,0.223350253807107,0.474619289340102,58841,"Medium",12667.6754563895
"355","Michigan","Alcona County","Farwell",48622,26,84,43.8715083,-84.978817,44352,34842,488.7,985.6,496.9,0.30952380952381,0.30952380952381,0.666666666666667,34842,"Low",36666.6754563895
"356","Michigan","Alcona County","Wayne",48184,54,395,42.2736999,-83.3702903,51236,40621,439.610886075949,903.156962025316,463.557721518987,0.144303797468354,0.136708860759494,0.374683544303797,40621,"Medium",30887.6754563895
"357","Michigan","Alcona County","Westland",48185,88,394,42.3170089,-83.3986505,62817,35097,464.009137055838,944.095685279188,480.081218274112,0.258883248730964,0.223350253807107,0.474619289340102,35097,"Medium",36411.6754563895
"358","Michigan","Alcona County","Garden City",48135,63,321,42.3316447,-83.3398792,53210,47079,451.626168224299,918.508099688473,466.881931464175,0.202492211838006,0.196261682242991,0.461059190031153,47079,"Medium",24429.6754563895
"359","Michigan","Alcona County","Inkster",48141,0,13,42.2988426,-83.3347182,36910,26920,375.4,779.2,403.8,0,0,0,26920,"Low",44588.6754563895
"360","Michigan","Alcona County","Dearborn Heights",48127,135,451,42.3447235,-83.284022,54691,42254,490.659955752212,975.438137472284,484.334146341463,0.345132743362832,0.299334811529933,0.465631929046563,42254,"Medium",29254.6754563895
"361","Michigan","Alcona County","Dearborn Heights",48127,135,451,42.3155357,-83.2987721,65509,50201,490.659955752212,975.438137472284,484.334146341463,0.345132743362832,0.299334811529933,0.465631929046563,50201,"Medium",21307.6754563895
"362","Michigan","Alcona County","Dearborn",48126,157,727,42.3182702,-83.1776549,42917,32654,468.227647867951,939.870976616231,471.643328748281,0.275103163686382,0.21595598349381,0.423658872077029,32654,"Low",38854.6754563895
"363","Michigan","Alcona County","Dearborn",48124,257,734,42.2864656,-83.2610823,56040,51795,497.590599455041,1004.11416893733,506.485286103542,0.369209809264305,0.350136239782016,0.606267029972752,51795,"Medium",19713.6754563895
"364","Michigan","Alcona County","Allen Park",48101,109,286,42.2340803,-83.2086055,73111,61239,509.511538461538,1021.33531468531,511.823776223776,0.405594405594406,0.381118881118881,0.615384615384615,61239,"Medium",10269.6754563895
"365","Michigan","Alcona County","Lincoln Park",48146,51,240,42.2341045,-83.1909896,57062,48828,455.6,919.5,463.9,0.2375,0.2125,0.375,48828,"Medium",22680.6754563895
"367","Michigan","Alcona County","Ecorse",48229,0,77,42.2425758,-83.154562,34838,24317,386.8,791,404.3,0,0,0.12987012987013,24317,"Low",47191.6754563895
"368","Michigan","Alcona County","Wyandotte",48192,65,308,42.1931412,-83.156842,72228,57694,471.1,964.4,493.2,0.224025974025974,0.211038961038961,0.538961038961039,57694,"Medium",13814.6754563895
"369","Michigan","Alcona County","Dearborn Heights",48125,49,192,42.261507,-83.2554555,49428,41727,474.872916666667,960.0921875,485.2640625,0.265625,0.255208333333333,0.526041666666667,41727,"Medium",29781.6754563895
"370","Michigan","Alcona County","Taylor",48180,77,494,42.2365988,-83.2437627,52823,47448,440.523076923077,904.264170040486,463.741093117409,0.161943319838057,0.15587044534413,0.408906882591093,47448,"Medium",24060.6754563895
"371","Michigan","Alcona County","Romulus",48174,28,178,42.2597019,-83.3686906,56062,37613,446.878651685393,904.105617977528,457.226966292135,0.179775280898876,0.157303370786517,0.314606741573034,37613,"Medium",33895.6754563895
"372","Michigan","Alcona County","Belleville",48111,76,369,42.2145466,-83.5129886,56099,46368,462.3,948.6,486.3,0.21680216802168,0.205962059620596,0.493224932249323,46368,"Medium",25140.6754563895
"373","Michigan","Alcona County","Romulus",48174,28,178,42.1687441,-83.2852311,84740,82385,446.878651685393,904.105617977528,457.226966292135,0.179775280898876,0.157303370786517,0.314606741573034,82385,"High",-10876.3245436105
"374","Michigan","Alcona County","Woodhaven",48183,105,237,42.1482188,-83.2112552,77530,67292,514.6,1028.5,513.9,0.472573839662447,0.443037974683544,0.628691983122363,67292,"Medium",4216.67545638945
"375","Michigan","Alcona County","Rockwood",48173,86,290,42.1054371,-83.2010178,71510,65310,485.45724137931,991.391034482759,505.933793103448,0.317241379310345,0.296551724137931,0.613793103448276,65310,"Medium",6198.67545638945
"376","Michigan","Alcona County","River Rouge",48218,0,192,42.2638403,-83.122157,0,0,412.7,832.6,419.9,0.0677083333333333,0,0.15625,0,"Low",71508.6754563895
"378","Michigan","Alcona County","Cadillac",49601,70,216,44.2564022,-85.3886364,46690,43125,498.672222222222,1008.20925925926,509.537037037037,0.342592592592593,0.324074074074074,0.625,43125,"Medium",28383.6754563895
"382","Michigan","Alcona County","Hopkins",49328,52,111,42.6305538,-85.774474,60258,51430,519,1031.4,512.3,0.495495495495495,0.468468468468468,0.684684684684685,51430,"Medium",20078.6754563895
"385","Michigan","Alcona County","Allegan",49010,49,168,42.5300225,-85.8499779,50082,42435,477.414285714286,967.171428571428,489.678571428571,0.30952380952381,0.291666666666667,0.517857142857143,42435,"Medium",29073.6754563895
"386","Michigan","Alcona County","Otsego",49078,66,175,42.4680984,-85.6701984,40323,33869,496.298285714286,1005.156,508.767428571429,0.4,0.377142857142857,0.617142857142857,33869,"Low",37639.6754563895
"387","Michigan","Alcona County","Holland",49423,132,365,42.7617252,-86.1170752,61935,50269,494.88,1001.92630136986,506.99095890411,0.380821917808219,0.361643835616438,0.567123287671233,50269,"Medium",21239.6754563895
"390","Michigan","Alcona County","Alpena",49707,91,279,45.1241324,-83.3692336,66394,46939,495.131182795699,1005.34050179211,510.209318996416,0.351254480286738,0.326164874551971,0.591397849462366,46939,"Medium",24569.6754563895
"391","Michigan","Alcona County","Alpena",49707,91,279,45.1087215,-83.496346,52486,36297,495.131182795699,1005.34050179211,510.209318996416,0.351254480286738,0.326164874551971,0.591397849462366,36297,"Medium",35211.6754563895
"392","Michigan","Alcona County","Alpena",49707,91,279,45.0093459,-83.4479739,56257,43639,495.131182795699,1005.34050179211,510.209318996416,0.351254480286738,0.326164874551971,0.591397849462366,43639,"Medium",27869.6754563895
"393","Michigan","Alcona County","Central Lake",49622,5,19,45.0384541,-85.2622144,71431,60242,469.5,980.5,511.1,0.263157894736842,0.263157894736842,0.578947368421053,60242,"Medium",11266.6754563895
"394","Michigan","Alcona County","Elk Rapids",49629,56,82,44.9229643,-85.400096,63443,48910,555.7,1109.5,553.8,0.707317073170732,0.682926829268293,0.829268292682927,48910,"Medium",22598.6754563895
"396","Michigan","Alcona County","Standish",48658,29,115,43.955559,-83.9533585,38884,18716,466.8,942.8,476,0.252173913043478,0.252173913043478,0.443478260869565,18716,"Low",52792.6754563895
"397","Michigan","Alcona County","Lanse",49946,17,59,46.6032533,-88.4835894,63085,39341,475.4,966.4,491,0.305084745762712,0.288135593220339,0.576271186440678,39341,"Medium",32167.6754563895
"398","Michigan","Alcona County","Hastings",49058,68,212,42.7175615,-85.3167363,80113,74374,492.5,992.9,500.4,0.35377358490566,0.320754716981132,0.570754716981132,74374,"Medium",-2865.32454361055
"399","Michigan","Alcona County","Gladstone",49837,42,105,45.8478978,-87.0216387,53836,43268,505.9,1015.4,509.5,0.438095238095238,0.4,0.638095238095238,43268,"Medium",28240.6754563895
"400","Michigan","Alcona County","Delton",49046,26,102,42.4723914,-85.4839527,82092,300000,474.629411764706,951.758823529412,477.129411764706,0.274509803921569,0.254901960784314,0.480392156862745,3e+05,"High",-228491.324543611
"401","Michigan","Alcona County","Battle Creek",49017,69,404,42.5043019,-85.2457044,57994,48898,443.156930693069,908.625742574257,465.464851485149,0.180693069306931,0.170792079207921,0.388613861386139,48898,"Medium",22610.6754563895
"402","Michigan","Alcona County","Hastings",49058,68,212,42.632535,-85.2423712,53515,47770,492.5,992.9,500.4,0.35377358490566,0.320754716981132,0.570754716981132,47770,"Medium",23738.6754563895
"403","Michigan","Alcona County","Bay City",48708,63,270,43.5932681,-83.8777745,43828,32954,464.901481481481,945.236666666667,480.335185185185,0.248148148148148,0.233333333333333,0.514814814814815,32954,"Low",38554.6754563895
"404","Michigan","Alcona County","Bay City",48708,63,270,43.5801158,-83.8940753,31024,23877,464.901481481481,945.236666666667,480.335185185185,0.248148148148148,0.233333333333333,0.514814814814815,23877,"Low",47631.6754563895
"405","Michigan","Alcona County","Bay City",48706,65,229,43.5842843,-83.9074123,38403,31022,484.953711790393,978.44192139738,493.488209606987,0.296943231441048,0.283842794759825,0.510917030567686,31022,"Low",40486.6754563895
"406","Michigan","Alcona County","Essexville",48732,42,147,43.5903369,-83.770428,76763,81090,479.583673469388,983,503.416326530612,0.299319727891156,0.285714285714286,0.585034013605442,81090,"High",-9581.32454361055
"407","Michigan","Alcona County","Bay City",48708,63,270,43.5328784,-83.7882531,63681,50343,464.901481481481,945.236666666667,480.335185185185,0.248148148148148,0.233333333333333,0.514814814814815,50343,"Medium",21165.6754563895
"408","Michigan","Alcona County","Auburn",48611,121,289,43.6092329,-84.1002867,64412,56146,508.9,1028.7,519.8,0.432525951557093,0.418685121107266,0.653979238754325,56146,"Medium",15362.6754563895
"409","Michigan","Alcona County","Holland",49423,132,365,42.7617252,-86.1170752,55519,39306,494.88,1001.92630136986,506.99095890411,0.380821917808219,0.361643835616438,0.567123287671233,39306,"Medium",32202.6754563895
"410","Michigan","Alcona County","Bay City",48706,65,229,43.6171737,-83.9211776,36713,29009,484.953711790393,978.44192139738,493.488209606987,0.296943231441048,0.283842794759825,0.510917030567686,29009,"Low",42499.6754563895
"411","Michigan","Alcona County","Norway",49870,14,50,45.7888144,-87.930857,55486,48017,476.6,977.6,501,0.28,0.28,0.56,48017,"Medium",23491.6754563895
"413","Michigan","Alcona County","Pinconning",48650,25,84,43.9112064,-84.1076869,66695,48884,477.9,962,484.2,0.345238095238095,0.297619047619048,0.5,48884,"Medium",22624.6754563895
"415","Michigan","Alcona County","Benzonia",49616,0,15,44.5670869,-86.1107004,50732,39061,393.3,810,416.7,0,0,0,39061,"Medium",32447.6754563895
"416","Michigan","Alcona County","Benton Harbor",49022,0,145,42.0980078,-86.4481998,20043,14828,372.428275862069,764.97724137931,392.572413793103,0,0,0.0689655172413793,14828,"Low",56680.6754563895
"417","Michigan","Alcona County","Saint Joseph",49085,148,229,42.0894069,-86.4789592,69479,60372,563.1,1119.7,556.5,0.655021834061135,0.646288209606987,0.759825327510917,60372,"Medium",11136.6754563895
"418","Michigan","Alcona County","Stevensville",49127,105,225,42.0146927,-86.5364601,68121,53863,526.3,1054.4,528,0.52,0.466666666666667,0.68,53863,"Medium",17645.6754563895
"419","Michigan","Alcona County","Benton Harbor",49022,0,145,42.0778643,-86.4453338,41410,36354,372.428275862069,764.97724137931,392.572413793103,0,0,0.0689655172413793,36354,"Medium",35154.6754563895
"420","Michigan","Alcona County","Benton Harbor",49022,0,145,42.1276981,-86.4046323,28396,20041,372.428275862069,764.97724137931,392.572413793103,0,0,0.0689655172413793,20041,"Low",51467.6754563895
"421","Michigan","Alcona County","Coloma",49038,28,125,42.1964135,-86.2954354,60509,54437,462.3,949.8,487.4,0.24,0.224,0.512,54437,"Medium",17071.6754563895
"422","Michigan","Alcona County","Lansing",48911,0,34,42.7008041,-84.6217559,49160,37095,360.9,746.2,385.3,0,0,0,37095,"Medium",34413.6754563895
"423","Michigan","Alcona County","Watervliet",49098,31,101,42.200066,-86.2488907,54300,41020,479.018811881188,985.130693069307,506.111881188119,0.306930693069307,0.306930693069307,0.564356435643564,41020,"Medium",30488.6754563895
"424","Michigan","Alcona County","Bridgman",49106,29,62,41.9371996,-86.4826772,74888,71984,548.1,1086.6,538.5,0.516129032258065,0.467741935483871,0.661290322580645,71984,"Medium",-475.32454361055
"426","Michigan","Alcona County","Three Oaks",49128,11,36,41.8514509,-86.5027183,52220,40921,463.9,957.8,493.9,0.361111111111111,0.305555555555556,0.555555555555556,40921,"Medium",30587.6754563895
"427","Michigan","Alcona County","Buchanan",49107,38,108,41.8258425,-86.365523,43074,35318,496.337037037037,997.596296296296,501.259259259259,0.398148148148148,0.351851851851852,0.62037037037037,35318,"Medium",36190.6754563895
"428","Michigan","Alcona County","Niles",49120,78,283,41.8263348,-86.2719092,54275,42969,479.800706713781,965.242756183746,485.509187279152,0.296819787985866,0.275618374558304,0.491166077738516,42969,"Medium",28539.6754563895
"429","Michigan","Alcona County","Niles",49120,78,283,41.8038321,-86.241531,43959,40656,479.800706713781,965.242756183746,485.509187279152,0.296819787985866,0.275618374558304,0.491166077738516,40656,"Medium",30852.6754563895
"431","Michigan","Alcona County","Coldwater",49036,73,234,42.023144,-84.9736225,70445,60567,491.08717948718,988.481623931624,497.394444444444,0.346153846153846,0.311965811965812,0.564102564102564,60567,"Medium",10941.6754563895
"432","Michigan","Alcona County","Quincy",49082,30,97,41.8652776,-84.8691092,54786,38336,480.8,971.1,490.3,0.350515463917526,0.309278350515464,0.525773195876289,38336,"Medium",33172.6754563895
"434","Michigan","Alcona County","Coldwater",49036,73,234,41.8215538,-85.0680322,69348,58496,491.08717948718,988.481623931624,497.394444444444,0.346153846153846,0.311965811965812,0.564102564102564,58496,"Medium",13012.6754563895
"435","Michigan","Alcona County","Coldwater",49036,73,234,41.9579786,-85.0716287,65538,52462,491.08717948718,988.481623931624,497.394444444444,0.346153846153846,0.311965811965812,0.564102564102564,52462,"Medium",19046.6754563895
"436","Michigan","Alcona County","Battle Creek",49017,69,404,42.3248004,-85.1695747,51152,32734,443.156930693069,908.625742574257,465.464851485149,0.180693069306931,0.170792079207921,0.388613861386139,32734,"Low",38774.6754563895
"437","Michigan","Alcona County","Battle Creek",49017,69,404,42.3166642,-85.1559446,29448,24577,443.156930693069,908.625742574257,465.464851485149,0.180693069306931,0.170792079207921,0.388613861386139,24577,"Low",46931.6754563895
"439","Michigan","Alcona County","Battle Creek",49015,100,353,42.3062795,-85.2411516,53519,48287,482.803399433428,966.791501416431,483.997450424929,0.322946175637394,0.28328611898017,0.490084985835694,48287,"Medium",23221.6754563895
"440","Michigan","Alcona County","Battle Creek",49015,100,353,42.2864809,-85.1880249,50764,39490,482.803399433428,966.791501416431,483.997450424929,0.322946175637394,0.28328611898017,0.490084985835694,39490,"Medium",32018.6754563895
"441","Michigan","Alcona County","Battle Creek",49014,68,244,42.2657382,-85.14136,84370,69224,481,979.8,498.8,0.295081967213115,0.278688524590164,0.565573770491803,69224,"Medium",2284.67545638945
"442","Michigan","Alcona County","Battle Creek",49017,69,404,42.3844741,-85.1570604,52333,43142,443.156930693069,908.625742574257,465.464851485149,0.180693069306931,0.170792079207921,0.388613861386139,43142,"Medium",28366.6754563895
"443","Michigan","Alcona County","Battle Creek",49015,100,353,42.1977706,-85.1685659,76632,300000,482.803399433428,966.791501416431,483.997450424929,0.322946175637394,0.28328611898017,0.490084985835694,3e+05,"High",-228491.324543611
"444","Michigan","Alcona County","Eaton Rapids",48827,60,212,42.4955901,-84.6510476,45367,34658,485.094339622641,982.2,497.105660377358,0.316037735849057,0.283018867924528,0.580188679245283,34658,"Low",36850.6754563895
