"","State_Name","County","City","Zip_Code","AllSbjtNumReady","AllSbjtNumAssessed","Lat","Lon","Mean_Income","Median_Income","FinalMathAveScore","FinalAllSbjtAveScore","FinalEWBRWAveScore","MathPctReady","TotalPerReady","EBRWPctReady","Median","Income_Level","difference_from_avg_median"
"40","Michigan","Presque Isle County","Rogers City",49779,16,60,45.417699,-83.804751,46864,39240,484.7,995.2,510.5,0.266666666666667,0.266666666666667,0.65,39240,"Medium",32268.6754563895
"41","Michigan","Saginaw County","Saginaw",48601,0,123,43.419945,-83.950172,36338,28008,372.739024390244,771.117073170732,398.378048780488,0,0,0.0569105691056911,28008,"Low",43500.6754563895
"42","Michigan","Washtenaw County","Saline",48176,0,10,42.173972,-83.776966,84671,65561,472,989,517,0,0,0,65561,"Medium",5947.67545638945
"44","Michigan","Kalkaska County","Fife Lake",49633,7,39,44.635726,-85.287422,49809,42197,454.1,942.6,488.5,0.179487179487179,0.179487179487179,0.512820512820513,42197,"Medium",29311.6754563895
"45","Michigan","Kent County","Sparta",49345,100,207,43.157756,-85.70921,49111,41323,522.7,1045.1,522.4,0.497584541062802,0.483091787439614,0.661835748792271,41323,"Medium",30185.6754563895
"46","Michigan","Macomb County","Sterling Heights",48313,483,1117,42.581206,-83.030316,70864,59483,519.75290957923,1032.85971351835,513.085586392122,0.478066248880931,0.432408236347359,0.625783348254252,59483,"Medium",12025.6754563895
"47","Michigan","Iosco County","Tawas City",48763,30,103,44.267154,-83.522985,46670,39547,487.9,988.2,500.3,0.339805825242718,0.29126213592233,0.563106796116505,39547,"Medium",31961.6754563895
"48","Michigan","Wayne County","Trenton",48183,105,237,42.140058,-83.192914,67179,55950,514.6,1028.5,513.9,0.472573839662447,0.443037974683544,0.628691983122363,55950,"Medium",15558.6754563895
"49","Michigan","Tuscola County","Unionville",48767,22,60,43.653523,-83.467098,50773,41234,504.3,1033.7,529.3,0.383333333333333,0.366666666666667,0.733333333333333,41234,"Medium",30274.6754563895
"50","Michigan","Macomb County","Grosse Pointe Woods",48236,400,697,42.444398,-82.873662,128833,300000,554.05824964132,1119.89569583931,565.837446197991,0.582496413199426,0.573888091822095,0.81922525107604,3e+05,"High",-228491.324543611
"51","Michigan","Macomb County","Center Line",48015,30,175,42.492904,-83.025001,53546,43185,445.891428571429,915.154285714286,469.262857142857,0.182857142857143,0.171428571428571,0.422857142857143,43185,"Medium",28323.6754563895
"53","Michigan","Livingston County","Whitmore Lake",48189,23,61,42.420281,-83.752134,66367,55301,505.1,1030.7,525.6,0.377049180327869,0.377049180327869,0.688524590163934,55301,"Medium",16207.6754563895
"56","Michigan","Alpena County","Alpena",49707,91,279,45.074475,-83.443571,41780,33535,495.131182795699,1005.34050179211,510.209318996416,0.351254480286738,0.326164874551971,0.591397849462366,33535,"Low",37973.6754563895
"58","Michigan","Van Buren County","Bangor",49013,10,65,42.31243,-86.113441,42101,33068,446.5,922,475.5,0.169230769230769,0.153846153846154,0.446153846153846,33068,"Low",38440.6754563895
"59","Michigan","Charlevoix County","Charlevoix",49720,36,97,45.36082,-85.11155,49301,40869,489.5,1006.3,513.5,0.383838383838384,0.371134020618557,0.628865979381443,40869,"Medium",30639.6754563895
"60","Michigan","Antrim County","Bellaire",49615,13,32,44.972302,-85.205446,50147,37585,509.1,1024.7,515.6,0.4375,0.40625,0.625,37585,"Medium",33923.6754563895
"61","Michigan","Benzie County","Benzonia",49616,0,15,44.62977,-86.095819,50265,41410,393.3,810,416.7,0,0,0,41410,"Medium",30098.6754563895
"63","Michigan","Branch County","Bronson",49028,35,84,41.872087,-85.190768,43419,37767,516.3,1027,510.7,0.44047619047619,0.416666666666667,0.714285714285714,37767,"Medium",33741.6754563895
"65","Michigan","Montmorency County","Onaway",49765,10,45,45.17282,-84.209618,60213,300000,474.9,952.9,478,0.222222222222222,0.222222222222222,0.466666666666667,3e+05,"High",-228491.324543611
"66","Michigan","Kent County","Kent City",49330,30,89,43.231998,-85.787451,58203,43375,491.7,1005.7,514,0.359550561797753,0.337078651685393,0.617977528089888,43375,"Medium",28133.6754563895
"67","Michigan","Antrim County","Central Lake",49622,5,19,45.069197,-85.261788,49238,38699,469.5,980.5,511.1,0.263157894736842,0.263157894736842,0.578947368421053,38699,"Medium",32809.6754563895
"68","Michigan","Isabella County","Clare",48617,41,103,43.826006,-84.761755,0,0,529.4,1065.3,535.9,0.436893203883495,0.398058252427184,0.718446601941748,0,"Low",71508.6754563895
"69","Michigan","Berrien County","Coloma",49038,28,125,42.18657,-86.309346,50856,46278,462.3,949.8,487.4,0.24,0.224,0.512,46278,"Medium",25230.6754563895
"72","Michigan","Wayne County","Detroit",48206,0,57,42.383037,-83.102237,36811,25417,377.4,760.4,383,0,0,0,25417,"Low",46091.6754563895
"74","Michigan","Alcona County","Detroit",48228,0,211,42.3328249,-83.2242628,31880,20887,375.38672985782,779.056872037915,403.670142180095,0,0,0.028436018957346,20887,"Low",50621.6754563895
"75","Michigan","Alcona County","Howell",48843,207,551,42.5781224,-84.0072081,103646,89387,505.7,1010.6,504.9,0.413793103448276,0.37568058076225,0.618874773139746,89387,"High",-17878.3245436105
"76","Michigan","Alcona County","Detroit",48228,0,211,42.3468695,-83.2259313,18095,16348,375.38672985782,779.056872037915,403.670142180095,0,0,0.028436018957346,16348,"Low",55160.6754563895
"77","Michigan","Alcona County","Detroit",48228,0,211,42.3508568,-83.2405854,31253,26348,375.38672985782,779.056872037915,403.670142180095,0,0,0.028436018957346,26348,"Low",45160.6754563895
"78","Michigan","Alcona County","Detroit",48228,0,211,42.3682497,-83.2411333,33157,21507,375.38672985782,779.056872037915,403.670142180095,0,0,0.028436018957346,21507,"Low",50001.6754563895
"79","Michigan","Alcona County","Detroit",48228,0,211,42.3697567,-83.2297901,32847,25877,375.38672985782,779.056872037915,403.670142180095,0,0,0.028436018957346,25877,"Low",45631.6754563895
"81","Michigan","Alcona County","Grosse Pointe Farms",48236,400,697,42.3947515,-82.8905015,148748,155703,554.05824964132,1119.89569583931,565.837446197991,0.582496413199426,0.573888091822095,0.81922525107604,155703,"High",-84194.3245436105
"82","Michigan","Alcona County","Grosse Pointe Farms",48236,400,697,42.4169429,-82.8975897,97368,89348,554.05824964132,1119.89569583931,565.837446197991,0.582496413199426,0.573888091822095,0.81922525107604,89348,"High",-17839.3245436105
