OBJECTID,GEOID10,MathNumAssessed,MathNumReady,AllSbjtNumReady,AllSbjtNumAssessed,EBRWNumAssessed,EBRWNumReady,FinalMathAveScore,FinalAllSbjtAveScore,FinalEWBRWAveScore,MathPctReady,AllSbjtPctReady,EBRWPctReady,Shape__Area,Shape__Length,ZCTA
41,2648081,326,117,112,326,326,220,492.9,1004.6,511.7,0.358895705521472,0.343558282208589,0.674846625766871,146789897.484375,51296.7064128202,48081
42,2648317,439,196,187,439,439,282,513.5,1028.5,515,0.446469248291572,0.425968109339408,0.642369020501139,351817680.237305,87300.4468129207,48317
43,2648088,263,50,44,263,263,122,458.954372623574,928.838783269962,469.884410646388,0.190114068441065,0.167300380228137,0.463878326996198,123667671.4375,51115.1436246169,48088
44,2648048,41,15,13,41,41,23,497.6,991.7,494.1,0.365853658536585,0.317073170731707,0.560975609756098,534531005.373535,117290.083686289,48048
45,2648236,697,406,400,697,697,571,554.05824964132,1119.89569583931,565.837446197991,0.582496413199426,0.573888091822095,0.81922525107604,245620953.578857,86856.4997329504,48236
46,2649454,139,33,33,139,139,59,453.517985611511,927.161151079137,473.643165467626,0.237410071942446,0.237410071942446,0.424460431654676,2048838304.27832,342871.760629759,49454
47,2649449,19,10,9,19,19,11,504.2,1027.4,523.2,0.526315789473684,0.473684210526316,0.578947368421053,1382560381.54492,254372.267262595,49449
48,2649886,28,11,10,28,28,19,502.9,999.3,496.4,0.392857142857143,0.357142857142857,0.678571428571429,434323629.509766,191691.380194787,49886
49,2649663,57,13,13,57,57,31,465.1,955.4,490.4,0.228070175438596,0.228070175438596,0.543859649122807,4767449728.59766,537862.601302803,49663
50,2648182,378,165,158,378,378,237,498.8,1009.7,510.9,0.436507936507937,0.417989417989418,0.626984126984127,1110470295.76892,207971.678978288,48182
51,2649329,11,0,0,11,11,0,409.1,839.1,430,0,0,0,2306475497.88916,379278.568932834,49329
52,2648383,390,153,142,390,390,239,492.944358974359,998.115897435897,505.260512820513,0.392307692307692,0.364102564102564,0.612820512820513,442059866.638672,121077.707954,48383
53,2648073,292,162,158,292,292,215,540.95,1084.08356164384,543.133561643836,0.554794520547945,0.541095890410959,0.736301369863014,205613904.435059,79139.4454606835,48073
54,2648656,36,9,8,36,36,13,447.5,901.1,453.6,0.25,0.222222222222222,0.361111111111111,3845694564.73145,410487.722652742,48656
55,2648655,62,25,23,62,62,41,497.7,1009.8,512.1,0.403225806451613,0.370967741935484,0.661290322580645,2680272155.24658,389197.908782008,48655
56,2649064,36,10,9,36,36,18,480,953.6,473.6,0.277777777777778,0.25,0.5,1308191110.6228,240727.857354779,49064
57,2649043,27,0,0,27,27,0,400,822.2,422.2,0,0,0,955920431.333984,205588.286629485,49043
58,2648105,583,403,389,583,583,482,593.706174957118,1178.5615780446,584.785934819897,0.691252144082333,0.667238421955403,0.826758147512864,1413064650.19116,318228.893518483,48105
59,2648216,64,0,0,64,64,0,363.3,758.4,395.2,0,0,0,61857716.5915527,47805.7357555595,48216
60,2648221,223,0,0,223,223,24,402.1,814.2,412.2,0,0,0.10762331838565,151987750.274902,56073.8936891594,48221
61,2648215,27,0,0,27,27,0,404.4,822.2,417.8,0,0,0,111890119.838867,49809.3052202122,48215
62,2648227,108,8,7,108,108,40,431.9,890.7,458.8,0.0740740740740741,0.0648148148148148,0.37037037037037,209919144.952393,67699.6889931118,48227
